task_id,selector,policy,depth,delegation,root_model,sub_model,correct,latency_s,root_steps,subcalls,repl_blocks,retrieval_calls,surfaced_chars,repl_output_chars,subcall_input_chars,subcall_output_chars,model_input_chars,rlm_queries,rlm_cache_hits,rlm_cache_misses,retrieval_cache_hits,retrieval_cache_misses
t6,grep,expand,1,llm,gpt-5.2,gpt-5.2,0,6.40,1,1,1,2,119,39,518,39,2894,0,0,0,0,2
t7,grep,expand,1,llm,gpt-5.2,gpt-5.2,0,6.53,1,1,1,2,150,68,523,68,2898,0,0,0,0,2
t8,grep,expand,1,llm,gpt-5.2,gpt-5.2,0,4.68,1,1,1,2,147,67,532,67,2904,0,0,0,0,2
t1,grep,expand,2,rlm,gpt-5.2,gpt-5.2,1,9.64,3,0,3,2,2202,951,0,0,9599,1,0,1,0,2
t2,grep,expand,2,rlm,gpt-5.2,gpt-5.2,1,9.34,4,0,3,2,2146,903,0,0,12382,1,0,1,0,2
t3,grep,expand,2,rlm,gpt-5.2,gpt-5.2,1,8.44,3,0,3,2,2200,949,0,0,9189,1,0,1,0,2
t4,grep,expand,2,rlm,gpt-5.2,gpt-5.2,1,7.17,3,0,3,2,2166,915,0,0,8903,1,0,1,0,2
t5,grep,expand,2,rlm,gpt-5.2,gpt-5.2,1,12.31,3,0,3,2,2088,874,0,0,8956,1,0,1,0,2
t6,grep,expand,2,rlm,gpt-5.2,gpt-5.2,0,9.68,3,0,3,2,2161,918,0,0,9005,1,0,1,0,2
t7,grep,expand,2,rlm,gpt-5.2,gpt-5.2,0,10.37,3,0,3,2,2120,896,0,0,9182,1,0,1,0,2
t8,grep,expand,2,rlm,gpt-5.2,gpt-5.2,0,10.23,3,0,3,2,2174,923,0,0,8962,1,0,1,0,2
t1,grep,expand,2,llm,gpt-5.2,gpt-5.2,1,11.34,1,1,1,2,164,84,416,84,3359,0,0,0,0,2
t2,grep,expand,2,llm,gpt-5.2,gpt-5.2,1,9.04,1,1,1,2,164,84,427,84,3317,0,0,0,0,2
t3,grep,expand,2,llm,gpt-5.2,gpt-5.2,1,5.92,1,1,1,2,124,44,407,44,3306,0,0,0,0,2
t4,grep,expand,2,llm,gpt-5.2,gpt-5.2,1,5.90,1,1,1,2,119,39,399,39,3328,0,0,0,0,2
t5,grep,expand,2,llm,gpt-5.2,gpt-5.2,1,5.06,1,1,1,2,226,146,425,146,3316,0,0,0,0,2
t6,grep,expand,2,llm,gpt-5.2,gpt-5.2,0,7.31,1,1,1,2,120,40,404,40,3315,0,0,0,0,2
t7,grep,expand,2,llm,gpt-5.2,gpt-5.2,0,5.29,1,1,1,2,150,68,414,68,3311,0,0,0,0,2
t8,grep,expand,2,llm,gpt-5.2,gpt-5.2,0,4.98,1,1,1,2,130,50,422,50,3312,0,0,0,0,2
t1,grep,iterative,1,none,gpt-5.2,gpt-5.2,1,3.22,1,0,1,2,282,200,0,0,2531,0,0,0,0,2
t2,grep,iterative,1,none,gpt-5.2,gpt-5.2,1,2.44,1,0,1,2,283,200,0,0,2505,0,0,0,0,2
t3,grep,iterative,1,none,gpt-5.2,gpt-5.2,1,2.55,1,0,1,2,102,22,0,0,2488,0,0,0,0,2
t4,grep,iterative,1,none,gpt-5.2,gpt-5.2,1,9.49,2,0,2,4,825,323,0,0,6536,0,0,0,0,4
t5,grep,iterative,1,none,gpt-5.2,gpt-5.2,0,2.74,1,0,1,2,284,200,0,0,2504,0,0,0,0,2
t6,grep,iterative,1,none,gpt-5.2,gpt-5.2,0,9.65,1,0,1,2,292,200,0,0,2490,0,0,0,0,2
t7,grep,iterative,1,none,gpt-5.2,gpt-5.2,0,3.44,1,0,1,2,291,200,0,0,2494,0,0,0,0,2
t8,grep,iterative,1,none,gpt-5.2,gpt-5.2,0,2.39,1,0,1,2,290,200,0,0,2500,0,0,0,0,2
t1,grep,iterative,1,llm,gpt-5.2,gpt-5.2,1,4.53,1,1,1,2,164,84,376,84,2945,0,0,0,0,2
t2,grep,iterative,1,llm,gpt-5.2,gpt-5.2,1,5.20,1,1,1,2,130,50,387,50,2919,0,0,0,0,2
t3,grep,iterative,1,llm,gpt-5.2,gpt-5.2,1,4.50,1,1,1,2,124,44,367,44,2902,0,0,0,0,2
t4,grep,iterative,1,llm,gpt-5.2,gpt-5.2,1,5.13,1,1,1,2,119,39,359,39,2903,0,0,0,0,2
t5,grep,iterative,1,llm,gpt-5.2,gpt-5.2,1,5.88,1,1,1,2,226,146,386,146,2918,0,0,0,0,2
t6,grep,iterative,1,llm,gpt-5.2,gpt-5.2,0,4.57,1,1,1,2,120,40,364,40,2904,0,0,0,0,2
t7,grep,iterative,1,llm,gpt-5.2,gpt-5.2,0,4.18,1,1,1,2,158,68,374,68,2908,0,0,0,0,2
t8,grep,iterative,1,llm,gpt-5.2,gpt-5.2,0,5.06,1,1,1,2,150,70,382,70,2914,0,0,0,0,2
t1,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,1,11.99,3,0,3,2,2198,949,0,0,9613,1,0,1,0,2
t2,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,1,7.94,3,0,3,2,2110,885,0,0,8971,1,0,1,0,2
t3,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,1,10.69,3,0,3,2,2150,924,0,0,9199,1,0,1,0,2
t4,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,1,8.22,3,0,3,2,2166,915,0,0,8913,1,0,1,0,2
t5,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,1,7.57,3,0,3,2,1770,717,0,0,8966,1,0,1,0,2
t6,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,0,9.32,3,0,3,2,2164,918,0,0,9015,1,0,1,0,2
t7,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,0,9.00,3,0,3,2,2174,923,0,0,9192,1,0,1,0,2
t8,grep,iterative,2,rlm,gpt-5.2,gpt-5.2,0,8.04,3,0,3,2,1782,729,0,0,8968,1,0,1,0,2
t1,grep,iterative,2,llm,gpt-5.2,gpt-5.2,1,4.63,1,1,1,2,164,84,416,84,3369,0,0,0,0,2
t2,grep,iterative,2,llm,gpt-5.2,gpt-5.2,1,5.43,1,1,1,2,226,146,427,146,3327,0,0,0,0,2
t3,grep,iterative,2,llm,gpt-5.2,gpt-5.2,1,7.70,1,1,1,2,124,44,407,44,3316,0,0,0,0,2
t4,grep,iterative,2,llm,gpt-5.2,gpt-5.2,1,8.20,1,1,1,2,119,39,399,39,3338,0,0,0,0,2
t5,grep,iterative,2,llm,gpt-5.2,gpt-5.2,1,5.31,1,1,1,2,226,146,425,146,3326,0,0,0,0,2
t6,grep,iterative,2,llm,gpt-5.2,gpt-5.2,0,5.07,1,1,1,2,124,44,404,44,3325,0,0,0,0,2
t7,grep,iterative,2,llm,gpt-5.2,gpt-5.2,0,5.37,1,1,1,2,146,66,414,66,3321,0,0,0,0,2
t8,grep,iterative,2,llm,gpt-5.2,gpt-5.2,0,6.24,1,1,1,2,148,68,422,68,3322,0,0,0,0,2
t1,bm25,single,1,none,gpt-5.2,gpt-5.2,1,4.28,1,0,1,2,284,200,0,0,2503,0,0,0,0,2
t2,bm25,single,1,none,gpt-5.2,gpt-5.2,0,2.51,1,0,1,2,288,200,0,0,2484,0,0,0,0,2
t3,bm25,single,1,none,gpt-5.2,gpt-5.2,1,3.18,1,0,1,2,102,22,0,0,2467,0,0,0,0,2
t4,bm25,single,1,none,gpt-5.2,gpt-5.2,1,6.25,3,0,2,3,821,319,0,0,10886,0,0,0,1,2
t5,bm25,single,1,none,gpt-5.2,gpt-5.2,0,4.20,1,0,1,2,288,200,0,0,2476,0,0,0,0,2
t6,bm25,single,1,none,gpt-5.2,gpt-5.2,1,4.58,1,0,1,2,83,3,0,0,2475,0,0,0,0,2
